;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,28.600000000000005,144.2,5.041958041958041,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1.5,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,16.6,62.79999999999999,3.783132530120481,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,0.9,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,4.6,13.5,2.9347826086956523,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.2,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,64.1,167.6,2.6146645865834635,8.8,1.0,2.0,5.800000000000001,16.999999999999996,0.6,0.4000000000000001,1.5,0.5,0.3,0.8000000000000002,3.1,1.6000000000000003,0.0,0.0,4.8,3.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,7.3,21.0,2.8767123287671232,4.4,0.0,4.4,0.0,5.500000000000001,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.4000000000000001,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,111.3,2.5295454545454543,58.60000000000001,6.6000000000000005,25.2,26.800000000000004,150.3,4.4,2.2,8.7,16.5,1.7,4.3,3.7000000000000006,17.1,88.7,0.0,0.6999999999999998,2.3,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,49.6,143.6,2.8951612903225805,44.1,12.0,0.7000000000000001,31.399999999999995,49.400000000000006,11.9,0.1,0.5,0.2,28.899999999999995,0.2,0.2,2.1,0.0,0.0,2.7000000000000006,2.6,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,30.3,36.3,1.198019801980198,69.19999999999999,3.3999999999999995,54.19999999999999,11.6,76.19999999999999,2.0,1.3999999999999997,5.400000000000001,48.79999999999999,1.1,2.7000000000000006,2.3,5.5,0.0,0.0,5.400000000000001,1.6000000000000003,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,18.8,55.9,2.973404255319149,52.6,0.0,52.6,0.0,54.3,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,6.900000000000001,18.1,2.623188405797101,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,0.4000000000000001,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,18.8,57.9,3.079787234042553,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,10.5,27.3,2.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.6,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,16.2,42.3,2.611111111111111,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.9,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,2.6,2.6,306.5,20.700000000000003,207.7,78.1,328.2,12.4,8.3,123.59999999999998,84.1,6.5,16.4,13.9,41.3,20.2,0.0,1.3999999999999997,0.1,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,52.29999999999999,139.7,2.67112810707457,66.9,0.0,38.3,28.600000000000005,103.0,0.0,0.0,0.5,37.8,0.0,0.0,0.0,28.600000000000005,0.0,0.0,33.3,2.7999999999999994,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,104.90000000000002,548.9,5.232602478551,0.0,0.0,0.0,0.0,117.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.2,5.599999999999999,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,795.0,47.7,585.0,162.3,797.7,28.600000000000005,19.1,456.2,128.8,14.9,37.8,32.1,77.5,0.0,0.0,2.7000000000000006,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,192.7,618.7,3.210690192008304,48.7,17.3,15.1,16.3,69.8,15.4,1.9,7.7,7.400000000000001,1.5,3.8,3.2000000000000006,7.8,0.0,0.0,10.9,10.2,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,179.30000000000004,411.7,2.296151701059676,136.2,23.7,32.7,79.8,159.3,17.7,6.0,23.600000000000005,9.1,4.7,11.699999999999998,10.0,53.4,0.0,0.0,13.6,9.5,79483.0,0.0,0.0,0.0,3,BOX ELDER
21,30021,42.9,114.7,2.6736596736596736,459.7,20.700000000000003,368.3,70.69999999999999,496.7,12.4,8.3,340.5,27.8,6.5,16.4,14.0,33.8,0.0,0.0,34.7,2.3,68948.0,0.0,0.0,0.0,3,BOX ELDER
22,30022,58.6,156.7,2.6740614334470987,89.80000000000001,12.3,34.00000000000001,43.5,124.9,7.099999999999999,5.2,27.100000000000005,6.900000000000001,4.1,9.9,8.8,20.7,0.0,0.0,32.0,3.1,68948.0,0.0,0.0,0.0,3,BOX ELDER
